cell_id,Age,batch,volume
354224800140100066,Yng,3,3160.188720703125
354224800144100084,Yng,3,2649.636474609375
354224800144100255,Yng,3,809.181396484375
354224800162100421,Yng,3,141.0130157470703
354224800164100167,Yng,3,2553.72412109375
354224800205100077,Yng,3,1321.975952148438
354224800226100163,Yng,3,2667.85107421875
354224800228100158,Yng,3,422.7005310058594
354224800246100137,Yng,3,1829.111694335938
354224800249100180,Yng,3,2253.88232421875
354224800269100295,Yng,3,1050.77001953125
354224800271100041,Yng,3,2362.708984375
354224800332100049,Yng,3,2047.2177734375
354224800332100070,Yng,3,1782.64794921875
3627584600020100107,Old,4,2261.14990234375
3627584600021100402,Old,4,1349.477294921875
3627584600043100084,Old,4,3110.368896484375
3627584600044200284,Old,4,2076.471923828125
3627584600046100267,Old,4,3349.023681640625
3627584600046100550,Old,4,502.9251403808594
3627584600071100321,Old,4,2556.411376953125
3627584600095100062,Old,4,286.1121826171875
3627584600095100467,Old,4,2067.274658203125
3627584600097100318,Old,4,1786.984375
3627584600119100679,Old,4,921.7376098632812
3627584600120100235,Old,4,2561.2119140625
3627584600120100542,Old,4,373.3055419921875
3627584600122100287,Old,4,1391.058349609375
3627584600122100490,Old,4,1115.929321289062
3627584600122200190,Old,4,1733.749267578125
3627584600144100135,Old,4,3133.7548828125
3627584600145100130,Old,4,2700.44482421875
3627584600146100215,Old,4,2287.33935546875
3627584600171100218,Old,4,2613.386962890625
3627584600195100080,Old,4,1530.7177734375
3627584600222100235,Old,4,1660.869750976562
3627584600222100282,Old,4,604.6980590820312
3627584600246100108,Old,4,3284.824951171875
3627584600270100105,Old,4,2728.72607421875
3627584600294100143,Old,4,3011.97119140625
3627584600318100055,Old,4,655.7621459960938
3627584600319100062,Old,4,3151.108154296875
3627584600340100097,Old,4,2720.478759765625
3627584600341100229,Old,4,3356.00537109375
3627584600343100105,Old,4,2589.165283203125
3627584600344100384,Old,4,543.5315551757812
363527800189100406,Yng,4,3332.33740234375
363527800190100077,Yng,4,899.130126953125
363527800190100245,Yng,4,1790.807373046875
363527800190100346,Yng,4,1298.669311523438
363527800190100474,Yng,4,400.1961059570312
363527800190100496,Yng,4,1124.712768554688
363527800217100131,Yng,4,2335.33642578125
363527800219200054,Yng,4,2156.7763671875
363527800220100345,Yng,4,1426.144165039062
363527800221100129,Yng,4,2506.89111328125
363527800246100154,Yng,4,2953.3193359375
363527800273100045,Yng,4,1911.638549804688
363527800276100145,Yng,4,3020.58447265625
363527800277100168,Yng,4,1317.375366210938
363527800301100068,Yng,4,1822.01953125
363527800301100225,Yng,4,2043.013061523438
363527800303100038,Yng,4,2689.271728515625
363527800331100268,Yng,4,2773.27392578125
363527800355100483,Yng,4,592.3269653320312
363527800358100084,Yng,4,1607.041259765625
363527800383100162,Yng,4,2263.16552734375
363527800386100021,Yng,4,3274.0400390625
363527800410100186,Yng,4,2848.694091796875
363527800412100049,Yng,4,2292.099609375
363527800415100237,Yng,4,2280.5869140625
363527800439100197,Yng,4,477.1491088867188
363527800464100061,Yng,4,3200.2802734375
363527800466100230,Yng,4,2236.30126953125
363527800467100276,Yng,4,2927.83154296875
363527800490100049,Yng,4,1775.142822265625
363527800492100430,Yng,4,428.8390502929688
363527800496100386,Yng,4,1120.774780273438
363527800515200186,Yng,4,2075.4375
363527800516100163,Yng,4,1527.476196289062
363527800518100074,Yng,4,1300.431274414062
363527800521100030,Yng,4,330.8209228515625
363527800542100110,Yng,4,2929.3564453125
363527800576100035,Yng,4,1925.38232421875
3603651200146100227,Yng,5,2120.5810546875
3603651200167100191,Yng,5,1907.7958984375
3603651200168100087,Yng,5,2315.18017578125
3603651200168100145,Yng,5,2276.920654296875
3603651200168200169,Yng,5,1918.434692382812
3603651200169100142,Yng,5,868.5924682617188
3603651200169100414,Yng,5,878.87255859375
3603651200172100362,Yng,5,938.1083374023438
3603651200194100231,Yng,5,3384.01513671875
3603651200195100031,Yng,5,2930.045166015625
3603651200195100293,Yng,5,1121.234008789062
3603651200196100125,Yng,5,2989.90283203125
3603651200219100027,Yng,5,2834.442138671875
3603651200222100421,Yng,5,900.5427856445312
3603651200246100071,Yng,5,2887.605224609375
3603651200247100082,Yng,5,1941.759521484375
3603651200248200071,Yng,5,1439.082153320312
3603651200270200240,Yng,5,1134.573120117188
3603651200296100030,Yng,5,3093.120361328125
3603651200296100163,Yng,5,1452.433837890625
3603651200296100195,Yng,5,2215.803955078125
3603651200296200208,Yng,5,2249.605712890625
3603651200321100369,Yng,5,1562.4091796875
3603651200322100111,Yng,5,3317.60595703125
3603651200323100056,Yng,5,2791.24658203125
3603651200346100040,Yng,5,1895.07763671875
3603651200348100181,Yng,5,1041.284912109375
3603651200371100085,Yng,5,1512.868408203125
3603651200420100040,Yng,5,2129.18408203125
3603651200422100043,Yng,5,2036.389282226562
3603651200447100013,Yng,5,2436.976806640625
3603651200447100163,Yng,5,1524.027221679688
3603651200496100149,Yng,5,1944.969116210938
3675195100049100070,Old,5,2806.33544921875
3675195100073100114,Old,5,2945.491455078125
3675195100073100138,Old,5,1677.946655273438
3675195100083100058,Old,5,2469.7587890625
3675195100103100325,Old,5,448.5240783691406
3675195100105100022,Old,5,1263.498291015625
3675195100113100376,Old,5,862.0016479492188
3675195100164100070,Old,5,2134.509033203125
